#OTU ID,Domain,Phylum,Class,Order,Family,Genus,Species
OTU1248,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,EU680443_f,HQ674963_g,HQ674963_s
OTU1249,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Gemmata_f,GQ339148_g,
OTU125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,JADL_g,
OTU1250,Unassigned,,,,,,
OTU1251,Bacteria,Chloroflexi,Ktedonobacteria,AY673403_o,AY673403_f,,
OTU1252,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,EU680443_f,,
OTU1253,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,
OTU1254,Bacteria,Cyanobacteria,Hormogoneae,Nostocales,Nostocaceae,Nostoc,
OTU1255,Bacteria,Latescibacteria_WS3,Latescibacter_c,AM991194_o,AM991194_f,FJ478933_g,
OTU1256,Bacteria,Nitrospirae,Nitrospira_c,GU444092_o,DQ906831_f,DQ906831_g,
OTU1257,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,JADL_g,
OTU1258,Bacteria,Proteobacteria,Deltaproteobacteria,FM253572_o,FM253572_f,FJ478897_g,
OTU1259,Bacteria,Nitrospirae,Nitrospira_c,GU444092_o,GU444092_f,GU444092_g,
OTU126,Bacteria,Cyanobacteria,JF737898_c,JF737898_o,JF737898_f,JF737898_g,
OTU1260,Bacteria,Chloroflexi,Anaerolineae,AF234733_o,FJ481317_f,DQ521481_g,
OTU1261,Bacteria,Acidobacteria,CP015136_c,CP015136_o,HM445331_f,HM445331_g,
OTU1262,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Aquisphaera,
OTU1263,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AB232813_g,
OTU1264,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Tepidisphaeraceae,Tepidisphaera,
OTU1265,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Gemmata_f,EU881120_g,
OTU1266,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,HE587193_g,
OTU1267,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,
OTU1268,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Symbiobacteriaceae,Symbiobacterium,
OTU1269,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,JADL_g,
OTU127,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,EU370957_g,
OTU1270,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Telmatospirillum,
OTU1271,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Gemmata_f,,
OTU1272,Bacteria,TM6,TM6_c,Babela_o,AB630667_f,AB630667_g,
OTU1273,Bacteria,Proteobacteria,Deltaproteobacteria,FM253572_o,EU335336_f,EU335336_g,
OTU1274,Bacteria,Omnitrophica_OP3,FP245540_c,FP245538_o,FP245538_f,AM162486_g,
OTU1275,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Singulisphaera,
OTU1276,Bacteria,Omnitrophica_OP3,FP245540_c,FP245538_o,FP245538_f,AM162486_g,
OTU1277,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,AM180160_g,
