#OTU ID,1,2,3,4,5,6,7,8,9,10,11,12,BCU1_2,BCU1_3,BCU2_1,BCU2_2,BCU3_1,BCU3_3,BCU4_1,BCU4_2,BCU4_3,BCW1_1,BCW1_2,BCW1_3,BCW2_1,BCW2_2,BCW2_3,BCW3_1,BCW3_2,BCW3_3,BCW4_1,BCW4_2,BCW4_3,S1_1,S1_2,S1_3,S2_1,S2_2,S2_3,S3_1,S3_2,S3_3,S4_1,S4_2,S4_3,SCK_1,SCK_2,SCK_3,taxonomy
OTU5012,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Tepidisphaeraceae;Tepidisphaera
OTU5013,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Tepidisphaeraceae;Tepidisphaera
OTU5014,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Proteobacteria;Oligoflexia;Oligoflexales;Oligoflexaceae;EU803555_g
OTU5015,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Cytophaga
OTU5016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned
OTU5017,0,0,0,1,0,0,1,1,0,0,1,0,0,2,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,1,2,0,Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;DQ154856_f;DQ154856_g
OTU5018,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,Bacteria;Gemmatimonadetes;Longimicrobia;GQ263235_o;GQ263235_f;HQ121233_g
OTU5019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned
OTU502,0,0,1,0,0,0,0,0,0,0,0,0,3,42,1,15,2,20,0,0,0,1,10,9,0,0,1,0,0,0,20,0,0,1,11,1,1,2,1,1,0,9,0,0,0,2,0,1,Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Ferruginibacter
OTU5020,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae
OTU5021,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Armatimonadetes;Armatimonadia;Armatimonadales;Armatimonadaceae;Armatimonas
OTU5022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Bacteria;Elusimicrobia;Elusimicrobia_c;Elusimicrobiales;AF407708_f;AF407708_g
